"","x"
"1240","234402"
"1241","234507"
"1242","234564"
"1243","234655"
"1244","234657"
"1245","234693"
"1246","234779"
"1247","235036"
"1248","235233"
"1249","235243"
"1250","235259"
"1251","235347"
"1252","235528"
"1253","235585"
"1254","235821"
"1255","235822"
"1256","235996"
"1257","236068"
"1258","236126"
"1259","236159"
"1260","236618"
"1261","236671"
"1262","236681"
"1263","236925"
"1264","236930"
"1265","237211"
"1266","237699"
"1267","237898"
"1268","238606"
"1269","238683"
"1270","238711"
"1271","238730"
"1272","238843"
"1273","238850"
"1274","239832"
"1275","239965"
"1276","240550"
"1277","240563"
"1278","240685"
"1279","240784"
"1280","241073"
"1281","241278"
"1282","241588"
"1283","241754"
"1284","241759"
"1285","241771"
"1286","241780"
"1287","241782"
"1288","242102"
"1289","242662"
"1290","242681"
"1291","242759"
"1292","242981"
"1293","243627"
"1294","243679"
"1295","243727"
"1296","243741"
"1297","245294"
"1298","246124"
"1299","246131"
"1300","246832"
"1301","247445"
"1302","247511"
"1303","247512"
"1304","248027"
"1305","248156"
"1306","248157"
"1307","248783"
"1308","249630"
"1309","249672"
"1310","249678"
"1311","249692"
"1312","250112"
"1313","250114"
"1314","250200"
"1315","250209"
"1316","250312"
"1317","250327"
"1318","250450"
"1319","250511"
"1320","250550"
"1321","250648"
"1322","250992"
"1323","251091"
"1324","251135"
"1325","251146"
"1326","251229"
"1327","251453"
"1328","251455"
"1329","251579"
"1330","251985"
"1331","251997"
"1332","252220"
"1333","252340"
"1334","252591"
"1335","252702"
"1336","252821"
"1337","252886"
"1338","253183"
"1339","254358"
"1340","254360"
"1341","256550"
"1342","115170"
"1343","573"
"1344","12391"
"1345","109010"
"1346","110003"
"1347","79097"
"1348","107942"
"1349","31211"
"1350","82177"
"1351","45880"
"1352","1866"
"1353","58317"
"1354","5137"
"1355","71676"
"1356","64673"
"1357","97853"
"1358","80224"
"1359","139058"
"1360","75982"
"1361","26128"
"1362","60460"
"1363","16540"
"1364","103958"
"1365","43949"
"1366","36568"
"1367","16549"
"1368","32369"
"1369","92711"
"1370","108050"
"1371","100846"
"1372","67754"
"1373","133971"
"1374","24045"
"1375","3966"
"1376","6357"
"1377","6358"
"1378","117360"
"1379","259618"
"1380","259655"
"1381","269113"
"1382","269663"
"1383","269664"
"1384","269666"
"1385","269854"
"1386","6455"
"1387","13824"
"1388","91958"
"1389","45189"
"1390","272733"
"1391","272791"
"1392","272950"
"1393","273707"
"1394","273708"
"1395","273868"
"1396","273903"
"1397","275147"
"1398","105224"
"1399","54648"
"1400","41084"
"1401","136692"
"1402","82529"
"1403","126091"
"1404","122905"
"1405","101181"
"1406","73069"
"1407","74140"
"1408","36800"
"1409","134695"
"1410","105230"
"1411","53588"
"1412","48376"
"1413","101117"
"1414","76194"
"1415","79427"
"1416","81499"
"1417","74155"
"1418","57653"
"1419","9923"
"1420","75211"
"1421","104184"
"1422","22154"
"1423","101120"
"1424","67986"
"1425","2101"
"1426","113471"
"1427","54604"
"1428","121907"
"1429","128440"
"1430","75213"
"1431","51467"
"1432","71060"
"1433","119719"
"1434","71055"
"1435","119766"
"1436","103170"
"1437","16825"
"1438","118733"
"1439","75194"
"1440","275889"
"1441","138780"
"1442","64907"
"1443","996"
"1444","46222"
"1445","32591"
"1446","275899"
"1447","118743"
"1448","77319"
"1449","113416"
"1450","85690"
"1451","61733"
"1452","99136"
"1453","45265"
"1454","20109"
"1455","27513"
"1456","140761"
"1457","36871"
"1458","110520"
"1459","14949"
"1460","112652"
"1461","14942"
"1462","45352"
"1463","2259"
"1464","14975"
"1465","126229"
"1466","36928"
"1467","46420"
