"","x"
"894","197698"
"895","197722"
"896","197771"
"897","197788"
"898","197797"
"899","197804"
"900","197808"
"901","197809"
"902","197819"
"903","197820"
"904","197825"
"905","197826"
"906","197853"
"907","197854"
"908","198109"
"909","198111"
"910","198151"
"911","198201"
"912","198283"
"913","198312"
"914","198333"
"915","198347"
"916","198472"
"917","198505"
"918","198604"
"919","198609"
"920","198646"
"921","198733"
"922","198796"
"923","198837"
"924","198853"
"925","198864"
"926","198883"
"927","198901"
"928","198904"
"929","198915"
"930","198933"
"931","198934"
"932","198966"
"933","198989"
"934","198992"
"935","198993"
"936","199013"
"937","199023"
"938","199041"
"939","199042"
"940","199056"
"941","199057"
"942","199061"
"943","199113"
"944","199480"
"945","199526"
"946","199575"
"947","199615"
"948","199643"
"949","199647"
"950","199749"
"951","199767"
"952","200022"
"953","200043"
"954","200127"
"955","200133"
"956","200167"
"957","200189"
"958","200208"
"959","200214"
"960","200215"
"961","200224"
"962","200225"
"963","200241"
"964","200245"
"965","200253"
"966","200263"
"967","200264"
"968","200315"
"969","200318"
"970","200337"
"971","200345"
"972","200349"
"973","200350"
"974","200351"
"975","200371"
"976","200374"
"977","200390"
"978","200393"
"979","200395"
"980","200699"
"981","200752"
"982","200819"
"983","200832"
"984","200845"
"985","201013"
"986","201022"
"987","201023"
"988","201044"
"989","201085"
"990","201131"
"991","201139"
"992","201140"
"993","201311"
"994","201427"
"995","201428"
"996","201430"
"997","201452"
"998","201458"
"999","201467"
"1000","201468"
"1001","201484"
"1002","201485"
"1003","201486"
"1004","201499"
"1005","201501"
"1006","201517"
"1007","201543"
"1008","201544"
"1009","201551"
"1010","201564"
"1011","201569"
"1012","201580"
"1013","201597"
"1014","201598"
"1015","201604"
"1016","201605"
"1017","201655"
"1018","201656"
"1019","201885"
"1020","201890"
"1021","201990"
"1022","202036"
"1023","202057"
"1024","202084"
"1025","202091"
"1026","202105"
"1027","202119"
"1028","202234"
"1029","202268"
"1030","202279"
"1031","202293"
"1032","202306"
"1033","202338"
"1034","202373"
"1035","202412"
"1036","202488"
"1037","202493"
"1038","202619"
"1039","202665"
"1040","202668"
"1041","202671"
"1042","202691"
"1043","202699"
"1044","202701"
"1045","202702"
"1046","202703"
"1047","202786"
"1048","202813"
"1049","202833"
"1050","202839"
"1051","202842"
"1052","202857"
"1053","203104"
"1054","203534"
"1055","203569"
"1056","203584"
"1057","203824"
"1058","203844"
"1059","203851"
"1060","203853"
"1061","203871"
"1062","203880"
"1063","203905"
"1064","203906"
"1065","203926"
"1066","203927"
"1067","203928"
"1068","204038"
"1069","204076"
"1070","204213"
"1071","204219"
"1072","204559"
"1073","204620"
"1074","204622"
"1075","204653"
"1076","204801"
"1077","204887"
"1078","204967"
"1079","204986"
"1080","204996"
"1081","205023"
"1082","205049"
"1083","205126"
"1084","205193"
"1085","205318"
"1086","205326"
"1087","205327"
"1088","205539"
"1089","205759"
"1090","205783"
"1091","205784"
"1092","205960"
"1093","206075"
"1094","206098"
"1095","206146"
"1096","206181"
"1097","206190"
"1098","206191"
"1099","206192"
"1100","206229"
"1101","206256"
"1102","206368"
"1103","206392"
"1104","206515"
"1105","206702"
"1106","206912"
"1107","206913"
"1108","206940"
"1109","206998"
"1110","207226"
"1111","207313"
"1112","207314"
"1113","207323"
"1114","207325"
"1115","207334"
"1116","207349"
"1117","207358"
"1118","207368"
"1119","207499"
"1120","207708"
"1121","207742"
"1122","207747"
"1123","208133"
"1124","208134"
"1125","208185"
"1126","208214"
"1127","208436"
"1128","208527"
"1129","208528"
"1130","208543"
"1131","208567"
"1132","208613"
"1133","208634"
"1134","208635"
"1135","208637"
"1136","208658"
"1137","208660"
"1138","208771"
"1139","208786"
"1140","208789"
"1141","208934"
"1142","208963"
"1143","208974"
"1144","209529"
"1145","209687"
"1146","209740"
"1147","209826"
"1148","209849"
"1149","210017"
"1150","210155"
"1151","210184"
"1152","210357"
"1153","210370"
"1154","210371"
"1155","210627"
"1156","210640"
"1157","210712"
"1158","210870"
"1159","210890"
"1160","210902"
"1161","211092"
"1162","211238"
"1163","211239"
"1164","211261"
"1165","211610"
"1166","211644"
"1167","211672"
"1168","211758"
"1169","211995"
"1170","212048"
"1171","212060"
"1172","212119"
"1173","212125"
"1174","212136"
"1175","212220"
"1176","212444"
"1177","212486"
"1178","212487"
"1179","212488"
"1180","212489"
"1181","213058"
"1182","213111"
"1183","213252"
"1184","213319"
"1185","213396"
"1186","213424"
"1187","213432"
"1188","213441"
"1189","213442"
"1190","213447"
"1191","213448"
"1192","213451"
"1193","213452"
"1194","213458"
"1195","213461"
"1196","213465"
"1197","213466"
"1198","213467"
"1199","213469"
"1200","213471"
"1201","213475"
"1202","213477"
"1203","213478"
"1204","213480"
"1205","213484"
