"","x"
"1286","195053"
"1287","195083"
"1288","195135"
"1289","195136"
"1290","195144"
"1291","195150"
"1292","195159"
"1293","195165"
"1294","195171"
"1295","195191"
"1296","195192"
"1297","195193"
"1298","195204"
"1299","195205"
"1300","195225"
"1301","195226"
"1302","195227"
"1303","195229"
"1304","195230"
"1305","195240"
"1306","195241"
"1307","195256"
"1308","195275"
"1309","195280"
"1310","195283"
"1311","195331"
"1312","195334"
"1313","195337"
"1314","195353"
"1315","195397"
"1316","195399"
"1317","195400"
"1318","195567"
"1319","195575"
"1320","195577"
"1321","195604"
"1322","195608"
"1323","195699"
"1324","195716"
"1325","195745"
"1326","195757"
"1327","195761"
"1328","195788"
"1329","195976"
"1330","196005"
"1331","196043"
"1332","196045"
"1333","196182"
"1334","196187"
"1335","196197"
"1336","196203"
"1337","196209"
"1338","196243"
"1339","196281"
"1340","196283"
"1341","196338"
"1342","196356"
"1343","196357"
"1344","196360"
"1345","196361"
"1346","196385"
"1347","196398"
"1348","196400"
"1349","196402"
"1350","196416"
"1351","196418"
"1352","196460"
"1353","196461"
"1354","196467"
"1355","196487"
"1356","196491"
"1357","196512"
"1358","196514"
"1359","196520"
"1360","196522"
"1361","196526"
"1362","196554"
"1363","196643"
"1364","196804"
"1365","196848"
"1366","196849"
"1367","196852"
"1368","196857"
"1369","196858"
"1370","196859"
"1371","196940"
"1372","197021"
"1373","197030"
"1374","197054"
"1375","197055"
"1376","197056"
"1377","197094"
"1378","197187"
"1379","197188"
"1380","197350"
"1381","197398"
"1382","197414"
"1383","197448"
"1384","197454"
"1385","197468"
"1386","197479"
"1387","197495"
"1388","197496"
"1389","197497"
"1390","197500"
"1391","197501"
"1392","197505"
"1393","197507"
"1394","197525"
"1395","197534"
"1396","197567"
"1397","197621"
"1398","197633"
"1399","197636"
"1400","197641"
"1401","197654"
"1402","197658"
"1403","197662"
"1404","197663"
"1405","197664"
"1406","197677"
"1407","197678"
"1408","197679"
"1409","197680"
"1410","197681"
"1411","197691"
"1412","197698"
"1413","197700"
"1414","197702"
"1415","197703"
"1416","197705"
"1417","197722"
"1418","197726"
"1419","197746"
"1420","197771"
"1421","197788"
"1422","197797"
"1423","197804"
"1424","197808"
"1425","197809"
"1426","197819"
"1427","197820"
"1428","197825"
"1429","197826"
"1430","197841"
"1431","197853"
"1432","197854"
"1433","197907"
"1434","198108"
"1435","198109"
"1436","198111"
"1437","198151"
"1438","198201"
"1439","198238"
"1440","198283"
"1441","198312"
"1442","198333"
"1443","198347"
"1444","198472"
"1445","198478"
"1446","198495"
"1447","198505"
"1448","198516"
"1449","198529"
"1450","198604"
"1451","198609"
"1452","198629"
"1453","198646"
"1454","198660"
"1455","198733"
"1456","198736"
"1457","198740"
"1458","198741"
"1459","198746"
"1460","198747"
"1461","198748"
"1462","198796"
"1463","198837"
"1464","198853"
"1465","198864"
"1466","198869"
"1467","198883"
"1468","198885"
"1469","198901"
"1470","198904"
"1471","198915"
"1472","198916"
"1473","198933"
"1474","198934"
"1475","198935"
"1476","198936"
"1477","198937"
"1478","198954"
"1479","198955"
"1480","198956"
"1481","198957"
"1482","198966"
"1483","198970"
"1484","198971"
"1485","198979"
"1486","198989"
"1487","198992"
"1488","198993"
"1489","199011"
"1490","199012"
"1491","199013"
"1492","199023"
"1493","199030"
"1494","199041"
"1495","199042"
"1496","199056"
"1497","199057"
"1498","199061"
"1499","199113"
"1500","199124"
"1501","199149"
"1502","199161"
"1503","199368"
"1504","199369"
"1505","199480"
"1506","199526"
"1507","199575"
"1508","199615"
"1509","199643"
"1510","199647"
"1511","199732"
"1512","199749"
"1513","199761"
"1514","199767"
"1515","199802"
"1516","199882"
"1517","199923"
"1518","199933"
"1519","200017"
"1520","200022"
"1521","200028"
"1522","200029"
"1523","200032"
"1524","200033"
"1525","200038"
"1526","200043"
"1527","200055"
"1528","200056"
"1529","200066"
"1530","200127"
"1531","200133"
"1532","200155"
"1533","200167"
"1534","200189"
"1535","200193"
"1536","200208"
"1537","200214"
"1538","200215"
"1539","200224"
"1540","200225"
"1541","200241"
"1542","200245"
"1543","200246"
"1544","200253"
"1545","200254"
"1546","200255"
"1547","200263"
"1548","200264"
"1549","200265"
"1550","200267"
"1551","200296"
"1552","200309"
"1553","200315"
"1554","200318"
"1555","200337"
"1556","200345"
"1557","200349"
"1558","200350"
"1559","200351"
"1560","200362"
"1561","200371"
"1562","200374"
"1563","200390"
"1564","200393"
"1565","200395"
"1566","200415"
"1567","200497"
"1568","200699"
"1569","200752"
"1570","200819"
"1571","200832"
"1572","200845"
"1573","200996"
"1574","201013"
"1575","201015"
"1576","201022"
"1577","201023"
"1578","201044"
"1579","201085"
"1580","201131"
"1581","201139"
"1582","201140"
"1583","201173"
"1584","201204"
"1585","201265"
"1586","201311"
"1587","201332"
"1588","201415"
"1589","201427"
"1590","201428"
"1591","201430"
"1592","201452"
"1593","201458"
"1594","201467"
"1595","201468"
"1596","201484"
"1597","201485"
"1598","201486"
"1599","201487"
"1600","201488"
"1601","201499"
"1602","201501"
"1603","201502"
"1604","201503"
"1605","201504"
"1606","201505"
"1607","201506"
"1608","201517"
"1609","201520"
"1610","201543"
"1611","201544"
"1612","201551"
"1613","201564"
"1614","201569"
"1615","201580"
"1616","201597"
"1617","201598"
"1618","201604"
"1619","201605"
"1620","201655"
"1621","201656"
"1622","201657"
"1623","201678"
"1624","201817"
"1625","201885"
"1626","201889"
"1627","201890"
"1628","201990"
"1629","202036"
"1630","202057"
"1631","202084"
"1632","202091"
"1633","202105"
"1634","202119"
"1635","202226"
"1636","202234"
"1637","202268"
"1638","202277"
"1639","202279"
"1640","202293"
"1641","202306"
"1642","202338"
"1643","202373"
"1644","202396"
"1645","202412"
"1646","202415"
"1647","202488"
"1648","202493"
"1649","202517"
"1650","202527"
"1651","202528"
